100,Casper,Comedia,124,2.00
115,El libro de la Selva,Aventuras,132,2.00
123,Batman Forever,Aventuras,98,3.00
146,Rob Roy,Drama,113,1.00
159,Historias del Kronen,Drama,105,1.00
214,Cadena Perpetua,Drama,90,1.00
307,Estallido,Intriga,140,3.00
452,Un indio en París,Comedia,95,1.00
492,Circulo de amigos,Drama,112,2.00
560,Antes de Amanecer,Comedia,97,1.00
663,El guardián de las palabras,Aventuras,121,2.00
712,Quiz Show,Intriga,110,2.00
789,Dos tontos muy tontos,Comedia,134,3.00
883,La Mascara,Comedia,142,3.00
901,Suspiros de España (y Portugal),Comedia,92,1.00
919,Double Dragon,Aventuras,103,2.00
924,El Primer Caballero,Aventuras,101,3.00
936,Congo,Intriga,130,3.00
949,Water World,Aventuras,121,2.00
967,Desperado,Aventuras,108,3.00
980,Causa Justa,Intriga,113,3.00
1020,Toy Story,Aventuras,104,3.00
1032,Las dos caras de la verdad,Intriga,123,3.00
1040,Misión Imposible,Aventuras,136,3.00
1052,Un loco a domicilio,Comedia,110,2.00
1065,Como conquistar Hollywood,Comedia,95,2.00
1072,Tres Deseos,Drama,112,3.00
1083,Cautivos,Drama,127,1.00
1090,Días de Fortuna,Drama,133,3.00
1102,El Presidente y Miss Wade,Comedia,111,1.00
1109,Sabrina y sus amores,Comedia,101,1.00
1117,Una Proposición Indecente,Drama,124,2.00
1123,Una Jaula de Grillos,Comedia,105,3.00
1134,La letra Escarlata,Drama,119,2.00
1140,City Hall,Drama,98,3.00
1153,Two Much,Comedia,103,2.00
1162,Ace Ventura Operación África,Comedia,116,3.00
1170,Todo por un Sueño,Drama,100,1.00
1188,Tierra peligrosa,Aventuras,131,2.00
1193,El informe pelícano,Aventuras,114,1.00
1203,Mr. Jones,Drama,102,1.00
1212,El Abogado del Diablo,Intriga,114,2.00
1222,Eternamente joven,Drama,97,1.00
1234,Ojo por ojo,Drama,115,3.00
1241,Leyendas de Pasión,Drama,141,3.00
1253,Esperando un Respiro,Comedia,103,2.00
1267,La red,Intriga,129,3.00
1273,Eraser,Aventuras,133,3.00
1288,Salto al vacío,Aventuras,100,1.00
1295,Golden Eye,Aventuras,119,2.00
